Description,Variables,value,unit,,,,6
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-11-20-8-39,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,11,Day,0135539_2020-8-11-20-8-39,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,20,Hour,0135539_2020-8-11-20-8-39,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,8,Minute,0135539_2020-8-11-20-8-39,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0135539_2020-8-11-20-8-39,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,39,Second,0135539_2020-8-11-20-8-39,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0135539_2020-8-11-20-8-39,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,1659.5625,km (KeyOff),0135539_2020-8-11-20-8-39,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,1657.953125,km (KeyOn),0135539_2020-8-11-20-8-39,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],68,(0-15),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],27,(105-120),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],11,(120-135),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],95,(15-30),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],83,(30-45),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],101,(45-60),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],122,(60-75),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],103,(75-90),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],83,(90-105),0135539_2020-8-11-21-4-17,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0135539_2020-8-11-21-4-17,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],741,Forward,0135539_2020-8-11-21-4-17,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0135539_2020-8-11-21-4-17,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],8,Neutral,0135539_2020-8-11-21-4-17,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],25,Parked,0135539_2020-8-11-21-4-17,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],13,Reversed,0135539_2020-8-11-21-4-17,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0135539_2020-8-11-21-4-17,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,1,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0135539_2020-8-11-21-4-17,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0135539_2020-8-11-21-4-17,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0135539_2020-8-11-21-4-17,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,2,$0=SettingUnknown $1=Off $2=On,0135539_2020-8-11-21-4-17,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-11-21-4-17,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,2,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0135539_2020-8-11-21-4-17,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,39.234375,deg C (KeyOff),0135539_2020-8-11-21-4-17,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,39.234375,deg C (KeyOn),0135539_2020-8-11-21-4-17,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,40.21875,deg C (Max),0135539_2020-8-11-21-4-17,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,39.234375,deg C (Min),0135539_2020-8-11-21-4-17,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,35.0705125,deg (Lat KeyOff),0135539_2020-8-11-21-4-17,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,35.14740861,deg (Lat KeyOn),0135539_2020-8-11-21-4-17,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-106.7249733,deg (Long KeyOff),0135539_2020-8-11-21-4-17,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-106.6870083,deg (Long KeyOn),0135539_2020-8-11-21-4-17,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-11-21-4-17,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-11-21-4-17,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,11,Day,0135539_2020-8-11-21-4-17,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,21,Hour,0135539_2020-8-11-21-4-17,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,4,Minute,0135539_2020-8-11-21-4-17,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0135539_2020-8-11-21-4-17,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,17,Second,0135539_2020-8-11-21-4-17,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0135539_2020-8-11-21-4-17,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,1689.21875,km (KeyOff),0135539_2020-8-11-21-4-17,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,1677.984375,km (KeyOn),0135539_2020-8-11-21-4-17,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],14,(0-15),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],51,(15-30),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],33,(30-45),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],9,(45-60),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],14,(60-75),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],0,(75-90),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0135539_2020-8-7-21-41-39,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0135539_2020-8-7-21-41-39,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],125,Forward,0135539_2020-8-7-21-41-39,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0135539_2020-8-7-21-41-39,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],1,Neutral,0135539_2020-8-7-21-41-39,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],62,Parked,0135539_2020-8-7-21-41-39,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],0,Reversed,0135539_2020-8-7-21-41-39,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0135539_2020-8-7-21-41-39,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,1,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0135539_2020-8-7-21-41-39,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0135539_2020-8-7-21-41-39,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0135539_2020-8-7-21-41-39,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,2,$0=SettingUnknown $1=Off $2=On,0135539_2020-8-7-21-41-39,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-7-21-41-39,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,2,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0135539_2020-8-7-21-41-39,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,37.265625,deg C (KeyOff),0135539_2020-8-7-21-41-39,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,39.234375,deg C (KeyOn),0135539_2020-8-7-21-41-39,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,39.234375,deg C (Max),0135539_2020-8-7-21-41-39,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,37.265625,deg C (Min),0135539_2020-8-7-21-41-39,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,35.0754375,deg (Lat KeyOff),0135539_2020-8-7-21-41-39,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,35.07049472,deg (Lat KeyOn),0135539_2020-8-7-21-41-39,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-106.7246969,deg (Long KeyOff),0135539_2020-8-7-21-41-39,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-106.7250467,deg (Long KeyOn),0135539_2020-8-7-21-41-39,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-7-21-41-39,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-7-21-41-39,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,7,Day,0135539_2020-8-7-21-41-39,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,21,Hour,0135539_2020-8-7-21-41-39,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,41,Minute,0135539_2020-8-7-21-41-39,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0135539_2020-8-7-21-41-39,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,39,Second,0135539_2020-8-7-21-41-39,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0135539_2020-8-7-21-41-39,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,1440.734375,km (KeyOff),0135539_2020-8-7-21-41-39,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,1439.671875,km (KeyOn),0135539_2020-8-7-21-41-39,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],51,(0-15),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],47,(15-30),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],27,(30-45),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],6,(45-60),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (45-60 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[3],0,(45-60),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (60-75 kph),vavspr_cnt_ops_vehspd[x]_[4],18,(60-75),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (60-75 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[4],0,(60-75),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (75-90 kph),vavspr_cnt_ops_vehspd[x]_[5],0,(75-90),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (75-90 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[5],0,(75-90),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (90-105 kph),vavspr_cnt_ops_vehspd[x]_[6],0,(90-105),0135539_2020-8-8-3-15-51,,,
Counter for vehicle speed within (90-105 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[6],0,(90-105),0135539_2020-8-8-3-15-51,,,
Counter of vehicle movement state at (Forward),vavdyr_cnt_ops_vehmotionstate[x]_[2],113,Forward,0135539_2020-8-8-3-15-51,,,
Counter of vehicle movement state at (Invalid),vavdyr_cnt_ops_vehmotionstate[x]_[4],0,Invalid,0135539_2020-8-8-3-15-51,,,
Counter of vehicle movement state at (Neutral),vavdyr_cnt_ops_vehmotionstate[x]_[1],2,Neutral,0135539_2020-8-8-3-15-51,,,
Counter of vehicle movement state at (Parked),vavdyr_cnt_ops_vehmotionstate[x]_[0],12,Parked,0135539_2020-8-8-3-15-51,,,
Counter of vehicle movement state at (Reverse),vavdyr_cnt_ops_vehmotionstate[x]_[3],47,Reversed,0135539_2020-8-8-3-15-51,,,
Driver Alert Type Customization Current Setting value at key on,venvar_e_ops_alrtdrvrslctdkeyon,2,$0 = SettingUnknow $1 = Chime $2 = Seat,0135539_2020-8-8-3-15-51,,,
Forward Collision Alert Gap Setting at key on,vefimr_e_ops_fca_gapsetkeyon,1,$0 = Far $1 = Medium $2 = Near $3 = Off $4 = Unknown $5=Faulted,0135539_2020-8-8-3-15-51,,,
Forward Impact Mitigation Operation Select Customization Current Setting Value at key on,vefimr_e_ops_cps_cursetkeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0135539_2020-8-8-3-15-51,,,
Front PCM Response Type Customization Current Setting Value at key on,vepcmr_e_ops_cursetvaluekeyon,3,$0 = SettingUnknown $1 = Off $2 = Alert $3 = Alert_Brake $4 = Alert_Brake_Steer,0135539_2020-8-8-3-15-51,,,
Go Notifier Customization Current Setting Value at key on,vefsrr_e_ops_gonocustomkeyon,2,$0=SettingUnknown $1=Off $2=On,0135539_2020-8-8-3-15-51,,,
Lane Change Alert Customization Current Setting Value at key on,verimr_e_ops_lca_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-8-3-15-51,,,
Lateral Assist Customer Selection Status at key on,veldfr_e_ops_ltrlasststkeyon,2,$0 = Off $1 = LDW $2 = LKA $3 = HoLF,0135539_2020-8-8-3-15-51,,,
Outside Air Temperature Key OFF,veoatr_t_ops_tempkeyoff,32.34375,deg C (KeyOff),0135539_2020-8-8-3-15-51,,,
Outside Air Temperature Key ON,veoatr_t_ops_tempkeyon,35.296875,deg C (KeyOn),0135539_2020-8-8-3-15-51,,,
Outside Air Temperature Max,veoatr_t_maxtempthiskeyon,35.296875,deg C (Max),0135539_2020-8-8-3-15-51,,,
Outside Air Temperature Min,veoatr_t_mintempthiskeyon,32.34375,deg C (Min),0135539_2020-8-8-3-15-51,,,
Positioning System Latitude at Key OFF,vegpsr_phi_ops_latitudekeyoff,35.07050778,deg (Lat KeyOff),0135539_2020-8-8-3-15-51,,,
Positioning System Latitude at Key ON,vegpsr_phi_ops_latitudekeyon,35.07474361,deg (Lat KeyOn),0135539_2020-8-8-3-15-51,,,
Positioning System Longitude at Key OFF,vegpsr_phi_ops_longitudekeyoff,-106.7250142,deg (Long KeyOff),0135539_2020-8-8-3-15-51,,,
Positioning System Longitude at Key ON,vegpsr_phi_ops_longitudekeyon,-106.7303389,deg (Long KeyOn),0135539_2020-8-8-3-15-51,,,
Rear Cross Traffic Alert Customization Current Setting Value at key on,verimr_e_ops_rcta_custstkeyon,2,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-8-3-15-51,,,
Side Blind Zone Alert Customization Current Setting Value at key on,verimr_e_ops_sbza_custstkeyon,1,$0=Setting_Unknown $1=Off $2=On,0135539_2020-8-8-3-15-51,,,
UTC Day at Key OFF,vegpsr_t_ops_daykeyoff,8,Day,0135539_2020-8-8-3-15-51,,,
UTC Hours at Key OFF,vegpsr_t_ops_hourkeyoff,3,Hour,0135539_2020-8-8-3-15-51,,,
UTC Minutes at Key OFF,vegpsr_t_ops_minkeyoff,15,Minute,0135539_2020-8-8-3-15-51,,,
UTC Month at Key OFF,vegpsr_e_ops_monthkeyoff,8,Month,0135539_2020-8-8-3-15-51,,,
UTC Seconds at Key OFF,vegpsr_t_ops_seckeyoff,51,Second,0135539_2020-8-8-3-15-51,,,
UTC Year at Key OFF,vegpsr_t_ops_yearkeyoff,2020,Year,0135539_2020-8-8-3-15-51,,,
Vehicle Odometer Value at Key OFF,vevspr_l_ops_vehodokeyoff,1451.53125,km (KeyOff),0135539_2020-8-8-3-15-51,,,
Vehicle Odometer Value at Key ON,vevspr_l_ops_vehodokeyon,1450.5,km (KeyOn),0135539_2020-8-8-3-15-51,,,
Adaptive Cruise Control Setting Type at key on,vefsrr_e_ops_selmodekeyon,0,$0=Manual $1=Auto,0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed 150 kph and greater,vavspr_cnt_ops_vehspd[x]_[10],0,(150<),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed 150 kph and greater when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[10],0,(150<),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (0-15 kph),vavspr_cnt_ops_vehspd[x]_[0],36,(0-15),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (0-15 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[0],0,(0-15),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (105-120 kph),vavspr_cnt_ops_vehspd[x]_[7],0,(105-120),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (105-120 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[7],0,(105-120),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (120-135 kph),vavspr_cnt_ops_vehspd[x]_[8],0,(120-135),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (120-135 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[8],0,(120-135),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (135-150 kph),vavspr_cnt_ops_vehspd[x]_[9],0,(135-150),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (135-150 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[9],0,(135-150),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (15-30 kph),vavspr_cnt_ops_vehspd[x]_[1],51,(15-30),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (15-30 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[1],0,(15-30),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (30-45 kph),vavspr_cnt_ops_vehspd[x]_[2],22,(30-45),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (30-45 kph) when the windshield wiper is activated,vawswr_cnt_ops_vehspdwdshldactv[x]_[2],0,(30-45),0135539_2020-8-8-3-7-21,,,
Counter for vehicle speed within (45-60 kph),vavspr_cnt_ops_vehspd[x]_[3],31,(45-60),0135539_2020-8-8-3-7-21,,,
